,tweets,country,sentiment score,label
0,itsJeffTiedrich realDonaldTrump Yeah What he said,USA,0.0,Neutral
1,stevenwdennis So impressed with Justin Fields  he was amazing,USA,0.8,positive
2,#WhoFartedOnJennaEllis,USA,0.0,Neutral
3,I am DISTAUGHT,USA,0.0,Neutral
4,Yes he is ,USA,0.0,Neutral
5,Stop whatever youre doing period for law enforcement,USA,0.0,Neutral
6,yo mom said its my turn to have intrusive thoughts,USA,0.0,Neutral
7,LadyBlueDevil Hows he feeling It hits people in all different kind of ways has he been around you a lot,USA,0.30000000000000004,positive
8,joncoopertweets More like Vanilla What,USA,0.5,positive
9,Im the only #ollTide fan in Ohio,USA,0.0,Neutral
10,Abrazote ,USA,0.0,Neutral
11,Only the crust on poptarts are the best,USA,0.5,positive
12,eturnofDoyle Skyjockey apexintel ,USA,0.0,Neutral
13,realDonaldTrump We will on January th,USA,0.0,Neutral
14,Guys please keep my family in your thoughts and prayers today We lost my grandmother in a fire this morning She,USA,0.0,Neutral
15,It Took Me Almost  Years  Slowly Get Out Of Depression I Finally Feel I Have Some Type Of Control,USA,-0.15,negative
16,Ikeeese alphie Eagles JoeGiglioSports greenlegion sethjoyner If they take anyone besides Surtain if he,USA,0.0,Neutral
17,TravelGov sent a DM about my my passport that I receivedhave heard nothing back,USA,0.0,Neutral
18,Kamala is a cop ,USA,0.0,Neutral
19,Update started  sick ,USA,-0.7142857143,negative
20,Donnie is the kid who always got picked last for everything,USA,0.0,Neutral
21,SasaTheBosss Hope the bubble pops soon so I can keep throwing money at it,USA,0.0,Neutral
22,,USA,0.0,Neutral
23,Paolaskyeslut ,USA,0.0,Neutral
24,#ShockingNotShocking,USA,0.0,Neutral
25,Nesprez rien de personnes,Benin,0.0,Neutral
26,Amaka HappinessIjeo Selfmadeceleb ealKiddWaya Co ask,Benin,0.0,Neutral
27,graffigirl ah a,Benin,0.0,Neutral
28,oh tu as succomb toi aussi ,Benin,0.0,Neutral
29,,Benin,0.0,Neutral
30,lifeofabaron Kingsle Baba don infect the whole nation e even fuk some citizens for mouth ,Benin,0.2,positive
31,shukuemekar I doubt I Dey patiently wait for one of his side chick to open chicken yansh ,Benin,-0.30000000000000004,negative
32,maaamee EricaNlewedim I tire oo,Benin,0.0,Neutral
33,Kingsle lifeofabaron And him no Dey use condom sef ,Benin,0.0,Neutral
34,ja nl,Benin,0.0,Neutral
35,Aristote Je te dis,Benin,0.0,Neutral
36,SocrateNick SarahDaouda jusdoranger EmmanuelGanse SavoirDuMonde ChammaGbeha FOAMinitiative,Benin,0.0,Neutral
37,Cest ma go svp la regarder pas trop,Benin,0.0,Neutral
38,theicyyone Je vois trs clairement oui,Benin,0.0,Neutral
39,edjedjieJunior SavageDoll On se sait BG ,Benin,0.0,Neutral
40,tesseract But him Dey breathe,Benin,0.0,Neutral
41,iamvoldemortt Me to sef reason am but for how long ,Benin,-0.05,negative
42,Since the first lady of Nigeria has relocate to Dubai Abeg how is our president coping with his sex life   Just asking ,Benin,0.25,positive
43,oluwakodevybes Na joblessness Dey cause that one na,Benin,0.0,Neutral
44,Chikezie royalleprincess DarkEsosaa Abi oo,Benin,0.0,Neutral
45,VivianEmedo Eyesaymymind Nice one babe,Benin,0.6000000000000001,positive
46,CarliosEmilio Siguiendo  buen da,Benin,0.0,Neutral
47,theicyyone Pques ft intense dans le temps,Benin,0.2,positive
48,Cest quand chacun va retourner dans son pays quils vont vous connatre Attendez,Benin,0.0,Neutral
49,kensmkog Pasuneskinny Tu tais dedans aussi  En vrai ya des prnoms tu ne peux tempcher de vanner quand tu les entends ,Benin,0.0,Neutral
50,Motion is lotion  ,Benin,0.0,Neutral
51,As mismo es amiga,Benin,0.0,Neutral
52,Pasuneskinny Gontran Bernard Originale Scholastique Bertrand Barthlemy Grgoire Lambert,Benin,0.0,Neutral
53,Lmaaao thats the tweet,Benin,0.0,Neutral
54,Cest dommage ,Benin,0.0,Neutral
55,AduniKhn Pasuneskinny Que quoi   Cest criminel ,Benin,0.0,Neutral
